x,Curve1
1003.6,36.0039
1009.37,34.9193
1015.86,33.8355
1022.34,32.7516
1028.11,31.667
1034.59,30.8014
1041.08,29.7175
1047.57,28.6337
1054.05,27.7681
1059.82,26.6834
1066.31,25.5996
1072.79,24.734
1079.28,23.6501
1085.77,22.7845
1092.25,21.7006
1098.74,20.835
1105.23,19.7512
1111.71,18.8855
1118.2,17.8017
1124.68,16.936
1131.17,16.0704
1137.66,14.9865
1144.14,14.1209
1150.63,13.2552
1157.12,12.1714
1163.6,11.3057
1170.09,10.6583
1176.58,9.79263
1183.78,8.92776
1190.27,8.06211
1196.76,7.19646
1203.24,6.33081
1209.73,5.46516
1216.94,4.81848
1223.42,4.17101
1229.91,3.30536
1236.4,2.43971
1242.88,1.79224
1250.09,0.927371
1262.34,-0.368354
1268.83,-1.01582
1276.04,-1.66251
1282.52,-2.52816
1289.73,-3.17484
1296.22,-4.04049
1303.42,-4.46899
1309.91,-5.33464
1316.4,-5.98211
1323.6,-6.6288
1330.09,-7.27627
1337.3,-7.92295
1343.78,-8.57042
1350.27,-9.21789
1357.48,-9.86457
1363.96,-10.512
1371.17,-11.1587
1377.66,-11.8062
1384.14,-12.4537
1391.35,-13.1003
1397.84,-13.7478
