Time, P $\rightarrow$, T
2,19.31212880775,87.6
5,19.31212880775,90.9
8,19.31212880775,107.2
11,19.31212880775,133.1
14,19.22339763583,170.25
17,19.22339763583,217.35
20,19.1350741466,271.55
23,19.04715646695,330.8666666667
26,18.78581968296,393.25
29,18.61359025288,453
32,18.35820222036,505.8
35,18.10631824301,550.5
38,17.85789024339,590.6666666667
41,17.61287080371,627
44,17.29139968222,661.5714285714
47,16.89779937189,693.1428571429
50,16.51315849845,721.7142857143
53,16.21175938862,745.7142857143
56,15.84273469174,763.625
59,15.55357219542,775.5
62,15.26968750947,784
65,14.99098430298,788.375
68,14.85354613278,792.4285714286
71,14.58243836241,795
74,14.4487457639,797.8571428571
77,14.31627886651,801
80,14.18502643293,803.8571428571
83,14.11985215661,806
86,14.0549773289,809.1428571429
89,13.92612052221,811
92,13.8621358105,812.875
95,13.8621358105,815.5
98,13.79844508184,815.25
101,13.67194017693,815.625
104,13.73504698549,816.75
107,13.60912331782,816.5
110,13.60912331782,817.4285714286
113,13.54659507597,817.7142857143
116,13.54659507597,818.125
119,13.54659507597,818.75
122,13.48435412528,818.375
125,13.48435412528,818.625
128,13.42239914579,818.75
131,13.42239914579,819.5
134,13.42239914579,819.875
137,13.42239914579,820.25
140,13.36072882358,820.875
143,13.29934185075,820
146,13.36072882358,820.75
149,13.36072882358,821.125
152,13.36072882358,821.875
155,13.36072882358,820.875
