Time,P $\rightarrow$,T
0,1.4106408972,225.4
1,1.405870827789,225.7
2,1.40226224157,226.05
3,1.399545074062,229.8
4,1.397467947534,249.5
5,1.40960489255,288.9666666667
6,1.401206267567,349.375
7,1.399719854307,429.5
8,1.411915144548,530.2
9,1.409884209536,641.7142857143
10,1.414331113457,752.5714285714
11,1.404169683777,861.2222222222
12,1.407213008984,961.1111111111
13,1.423547863172,1048
14,1.424887992107,1121.9
14.99,1.544220733431,1185.2
15.99,1.689398518368,1237.545454545
16.99,1.680308995533,1283.181818182
17.99,1.846306515909,1321.909090909
18.99,2.038203240093,1354.75
19.99,2.097679707621,1385.583333333
20.99,2.43334451734,1415.363636364
21.99,2.417922111186,1443
22.99,2.80466906713,1474.083333333
23.99,3.284410587566,1501.818181818
24.99,3.265138027175,1530.272727273
25.99,3.843030985315,1553.5
26.99,4.303813917969,1575.75
27.99,4.453966419923,1596.333333333
28.99,5.113518984146,1616
29.99,5.088393464973,1636.5
30.99,5.814781265768,1652.75
31.99,6.482674663519,1663.833333333
32.99,6.454610742109,1667.25
33.99,7.058050551112,1669.833333333
34.99,7.384051539128,1674.083333333
35.99,7.500534460653,1674.916666667
36.99,7.848823286345,1677.5
37.99,7.856006721164,1679.25
38.99,8.101198115169,1679.25
39.99,8.355009225508,1680.083333333
40.99,8.363564198469,1681.818181818
41.99,8.498792868098,1680.916666667
42.99,8.63687647634,1682.666666667
43.99,8.602889656252,1682.666666667
44.99,8.699713066198,1683.5
45.99,8.665440642856,1684.363636364
46.99,8.808574983723,1683.5
47.99,8.81908677464,1682.666666667
48.99,8.829814559552,1684.363636364
49.99,8.886297049632,1682.666666667
50.99,8.852039385532,1685.25
51.99,8.863580519724,1683.5
52.99,8.875424766094,1681.818181818
53.99,8.841435369932,1680.083333333
54.99,8.853673627043,1679.25
55.99,8.819844331281,1680.083333333
56.99,8.786062226308,1680.083333333
57.99,8.75229205486,1681.818181818
58.99,8.764840704929,1681.818181818
